BDAP,Comune,Provincia,Regione,Zona
833242930545597902,COMUNE DI SISSA TRECASALI,PARMA,EMILIA-ROMAGNA,NORD-EST
859042930537350901,COMUNE DI QUERO VAS,BELLUNO,VENETO,NORD-EST
869542930476693801,COMUNE DI LA VALLETTA BRIANZA,LECCO,LOMBARDIA,NORD-OVEST
878642930473469202,COMUNE DI VALVASONE ARZENE,PORDENONE,FRIULI-VENEZIA GIULIA,NORD-EST
881242930544245001,COMUNE DI TREMEZZINA,COMO,LOMBARDIA,NORD-OVEST
889642930475240402,COMUNE DI SANT'OMOBONO TERME,BERGAMO,LOMBARDIA,NORD-OVEST
897051514917998201,COMUNE DI LATERINA PERGINE VALDARNO,AREZZO,TOSCANA,CENTRO
901654705503986001,COMUNE DI SASSOCORVARO AUDITORE,PESARO E URBINO,MARCHE,CENTRO
909655015741696601,COMUNE DI VALBRENTA,VICENZA,VENETO,NORD-EST
917348455357670201,COMUNE DI VALFORNACE,MACERATA,MARCHE,CENTRO
921445466594448101,COMUNE DI VALLELAGHI,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
922842930539926702,COMUNE DI VAL BREMBILLA,BERGAMO,LOMBARDIA,NORD-OVEST
926455801024427601,COMUNE DI PRESICCE-ACQUARICA,LECCE,PUGLIA,SUD
926842930544415802,COMUNE DI FIGLINE E INCISA VALDARNO,FIRENZE,TOSCANA,CENTRO
935251629933104701,COMUNE DI VALVARRONE,LECCO,LOMBARDIA,NORD-OVEST
941742930476701901,COMUNE DI SAN LORENZO DORSINO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
947642930545755901,COMUNE DI COLVERDE,COMO,LOMBARDIA,NORD-OVEST
949042930476665701,COMUNE DI CASCIANA TERME LARI,PISA,TOSCANA,CENTRO
951345501345900001,COMUNE DI BORGOMEZZAVALLE,VERBANO-CUSIO-OSSOLA,PIEMONTE,NORD-OVEST
954751559635716801,COMUNE DI ALTA VAL TIDONE,PIACENZA,EMILIA-ROMAGNA,NORD-EST
954854824970781902,COMUNE DI VAL DI CHY,TORINO,PIEMONTE,NORD-OVEST
958255117680189701,COMUNE DI LUSIANA CONCO,VICENZA,VENETO,NORD-EST
964642930476536402,COMUNE DI PREDAIA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
967345468425484301,COMUNE DI ALTOPIANO DELLA VIGOLANA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
978267464082373801,COMUNE DI MORANSENGO - TONENGO,ASTI,PIEMONTE,NORD-OVEST
979742930478746002,COMUNE DI VERDERIO,LECCO,LOMBARDIA,NORD-OVEST
981670619389576801,COMUNE DI UGGIATE CON RONAGO,COMO,LOMBARDIA,NORD-OVEST
981942930550596201,COMUNE DI GRAVEDONA ED UNITI,COMO,LOMBARDIA,NORD-OVEST
994942930543450601,COMUNE DI MONTORO,AVELLINO,CAMPANIA,SUD
995545466897190001,COMUNE DI BORGO CHIESE,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
