BDAP,Comune,Provincia,Regione,Zona
248142930528770701,COMUNE DI MONTALTO LIGURE,IMPERIA,LIGURIA,NORD-OVEST
252142930532343202,COMUNE DI CAMPOLONGO SUL BRENTA,VICENZA,VENETO,NORD-EST
257942930463157502,COMUNE DI ORCIANO DI PESARO,PESARO E URBINO,MARCHE,CENTRO
272342930459787801,COMUNE DI CAVAGLIO-SPOCCIA,VERBANO-CUSIO-OSSOLA,PIEMONTE,NORD-OVEST
273742930458654902,COMUNE DI RIVA VALDOBBIA,VERCELLI,PIEMONTE,NORD-OVEST
277042930525695101,COMUNE DI MONTECICCARDO,PESARO E URBINO,MARCHE,CENTRO
279542930543898702,COMUNE DI LIGOSULLO,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST
287442929946046702,COMUNE DI FELONICA,MANTOVA,LOMBARDIA,NORD-OVEST
291342930527457401,COMUNE DI MALOSCO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
298142930450394902,COMUNE DI RIMA SAN GIUSEPPE,VERCELLI,PIEMONTE,NORD-OVEST
331542930461967902,COMUNE DI MEUGLIANO,TORINO,PIEMONTE,NORD-OVEST
333842930457653302,COMUNE DI SORBOLO,PARMA,EMILIA-ROMAGNA,NORD-EST
335942930475469302,COMUNE DI RIMASCO,VERCELLI,PIEMONTE,NORD-OVEST
341342930529350401,COMUNE DI ROMALLO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
342942930457861601,COMUNE DI SABBIA,VERCELLI,PIEMONTE,NORD-OVEST
343142928258333201,COMUNE DI BREGANO,VARESE,LOMBARDIA,NORD-OVEST
348642928210741101,COMUNE DI ALANO DI PIAVE,BELLUNO,VENETO,NORD-EST
349042930457201601,COMUNE DI SAN MARCELLO PISTOIESE,PISTOIA,TOSCANA,CENTRO
351342930537264601,COMUNE DI RONAGO,COMO,LOMBARDIA,NORD-OVEST
354142930472996701,COMUNE DI PIEVEBOVIGLIANA,MACERATA,MARCHE,CENTRO
354842930518382801,COMUNE DI FIORDIMONTE,MACERATA,MARCHE,CENTRO
365042930473400201,COMUNE DI MASON VICENTINO,VICENZA,VENETO,NORD-EST
365542930542476802,COMUNE DI ZOLDO ALTO,BELLUNO,VENETO,NORD-EST
367342930457550702,COMUNE DI MONTEMAGGIORE AL METAURO,PESARO E URBINO,MARCHE,CENTRO
368442930532663301,COMUNE DI ALLUVIONI CAMBIO',ALESSANDRIA,PIEMONTE,NORD-OVEST
368942930548823701,COMUNE DI VICO CANAVESE,TORINO,PIEMONTE,NORD-OVEST
401742930476993502,COMUNE DI CORIGLIANO CALABRO,COSENZA,CALABRIA,SUD
404442930549715302,COMUNE DI VALMALA,CUNEO,PIEMONTE,NORD-OVEST
404542930469762002,COMUNE DI SERRUNGARINA,PESARO E URBINO,MARCHE,CENTRO
407942930533640401,COMUNE DI CAMAIRAGO,LODI,LOMBARDIA,NORD-OVEST
425342930227324101,COMUNE DI BORGOFRANCO SUL PO,MANTOVA,LOMBARDIA,NORD-OVEST
429342930472636901,COMUNE DI POZZA DI FASSA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
447142930509243702,COMUNE DI CAVALLASCA,COMO,LOMBARDIA,NORD-OVEST
452442930473690302,COMUNE DI PIEVE D'ALPAGO,BELLUNO,VENETO,NORD-EST
457042928043922501,COMUNE DI BERRA,FERRARA,EMILIA-ROMAGNA,NORD-EST
457242930547363002,COMUNE DI RAMPONIO VERNA,COMO,LOMBARDIA,NORD-OVEST
469842930527628101,COMUNE DI MONTALCINO,SIENA,TOSCANA,CENTRO
471642929372893101,COMUNE DI FAEDO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
474342930523493902,COMUNE DI FIUMICELLO,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST
475242930454795902,COMUNE DI VESTRENO,LECCO,LOMBARDIA,NORD-OVEST
475742930533605801,COMUNE DI CANEVINO,PAVIA,LOMBARDIA,NORD-OVEST
484142930525467301,COMUNE DI VERMEZZO,MILANO,LOMBARDIA,NORD-OVEST
486342930520979801,COMUNE DI FONDO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
487742930479284001,COMUNE DI VALSTAGNA,VICENZA,VENETO,NORD-EST
488242930184483401,COMUNE DI FARRA D'ALPAGO,BELLUNO,VENETO,NORD-EST
495342930546482401,COMUNE DI LUSIANA,VICENZA,VENETO,NORD-EST
509542930475699202,COMUNE DI INTROZZO,LECCO,LOMBARDIA,NORD-OVEST
512842930457123302,COMUNE DI PRESICCE,LECCE,PUGLIA,SUD
513942930515637301,COMUNE DI CASTIGLIONE D'INTELVI,COMO,LOMBARDIA,NORD-OVEST
517542930548299101,COMUNE DI VENDROGNO,LECCO,LOMBARDIA,NORD-OVEST
536642930453162402,COMUNE DI PECORARA,PIACENZA,EMILIA-ROMAGNA,NORD-EST
542442930452889202,COMUNE DI SOPRANA,BIELLA,PIEMONTE,NORD-OVEST
543242930469453101,COMUNE DI SANTA MARGHERITA D'ADIGE,PADOVA,VENETO,NORD-EST
544842930478628102,COMUNE DI VALLE MOSSO,BIELLA,PIEMONTE,NORD-OVEST
549042930550426602,COMUNE DI VERUNO,NOVARA,PIEMONTE,NORD-OVEST
556142930548024902,COMUNE DI TRENTA,COSENZA,CALABRIA,SUD
557642930468689802,COMUNE DI TREPPO CARNICO,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST
569342930462016802,COMUNE DI PERGINE VALDARNO,AREZZO,TOSCANA,CENTRO
572842930508787901,COMUNE DI AUDITORE,PESARO E URBINO,MARCHE,CENTRO
574342930509102302,COMUNE DI CASSANO SPINOLA,ALESSANDRIA,PIEMONTE,NORD-OVEST
577842930530605202,COMUNE DI REVERE,MANTOVA,LOMBARDIA,NORD-OVEST
578742930465525801,COMUNE DI PIADENA,CREMONA,LOMBARDIA,NORD-OVEST
579042930516521701,COMUNE DI CERRETO CASTELLO,BIELLA,PIEMONTE,NORD-OVEST
584242930459657702,COMUNE DI CAVACURTA,LODI,LOMBARDIA,NORD-OVEST
588942930518122101,COMUNE DI CARCERI,PADOVA,VENETO,NORD-EST
589442930461961201,COMUNE DI BIGARELLO,MANTOVA,LOMBARDIA,NORD-OVEST
594042928955399301,COMUNE DI CURSOLO-ORASSO,VERBANO-CUSIO-OSSOLA,PIEMONTE,NORD-OVEST
603442930453407502,COMUNE DI PIOVERA,ALESSANDRIA,PIEMONTE,NORD-OVEST
606442930526523901,COMUNE DI OSMATE,VARESE,LOMBARDIA,NORD-OVEST
607842930519845901,COMUNE DI IVANO-FRACENA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
613142930460107002,COMUNE DI CARPASIO,IMPERIA,LIGURIA,NORD-OVEST
618342930518196401,COMUNE DI DRIZZONA,CREMONA,LOMBARDIA,NORD-OVEST
621742930538553002,COMUNE DI SELVE MARCONE,BIELLA,PIEMONTE,NORD-OVEST
624842929488593502,COMUNE DI CA' D'ANDREA,CREMONA,LOMBARDIA,NORD-OVEST
628842930454607001,COMUNE DI NAVE SAN ROCCO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
639042930525131202,COMUNE DI MEZZANI,PARMA,EMILIA-ROMAGNA,NORD-EST
641242930476063902,COMUNE DI GRANCONA,VICENZA,VENETO,NORD-EST
641942930470821402,COMUNE DI SOLBIATE,COMO,LOMBARDIA,NORD-OVEST
646742930535003202,COMUNE DI PIAGGE,PESARO E URBINO,MARCHE,CENTRO
648942930461330302,COMUNE DI DAIANO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
649442930542611901,COMUNE DI MOSSO,BIELLA,PIEMONTE,NORD-OVEST
653942930475971202,COMUNE DI PADERNO DEL GRAPPA,TREVISO,VENETO,NORD-EST
654742929488622702,COMUNE DI GATTICO,NOVARA,PIEMONTE,NORD-OVEST
656542930472391902,COMUNE DI NIBBIANO,PIACENZA,EMILIA-ROMAGNA,NORD-EST
656742930532220401,COMUNE DI CUCCARO MONFERRATO,ALESSANDRIA,PIEMONTE,NORD-OVEST
666142930515623901,COMUNE DI CASTELFONDO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
673942929704255001,COMUNE DI VILLA POMA,MANTOVA,LOMBARDIA,NORD-OVEST
693942930548187102,COMUNE DI ZAMBANA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
696742930480473401,COMUNE DI TRIVERO,BIELLA,PIEMONTE,NORD-OVEST
704342930542150601,COMUNE DI TREMENICO,LECCO,LOMBARDIA,NORD-OVEST
712242930474006402,COMUNE DI FORNO DI ZOLDO,BELLUNO,VENETO,NORD-EST
714742930459991802,COMUNE DI SAN NAZARIO,VICENZA,VENETO,NORD-EST
718142930477109701,COMUNE DI LANZO D'INTELVI,COMO,LOMBARDIA,NORD-OVEST
729242930518283202,COMUNE DI MIRABELLO,FERRARA,EMILIA-ROMAGNA,NORD-EST
744842930462606602,COMUNE DI GAMBUGLIANO,VICENZA,VENETO,NORD-EST
751542930527036201,COMUNE DI VIGO DI FASSA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
755242930526355201,COMUNE DI PEDACE,COSENZA,CALABRIA,SUD
758242930476974502,COMUNE DI MALGESSO,VARESE,LOMBARDIA,NORD-OVEST
762142930546511702,COMUNE DI RUINO,PAVIA,LOMBARDIA,NORD-OVEST
765242930457318901,COMUNE DI PRESTINE,BRESCIA,LOMBARDIA,NORD-OVEST
767742930533484701,COMUNE DI MOLVENA,VICENZA,VENETO,NORD-EST
772842927929439501,COMUNE DI CAMINATA,PIACENZA,EMILIA-ROMAGNA,NORD-EST
774542930468950402,COMUNE DI TRICHIANA,BELLUNO,VENETO,NORD-EST
777842930465145602,COMUNE DI CAGNO',TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
781542930527073001,COMUNE DI TRESIGALLO,FERRARA,EMILIA-ROMAGNA,NORD-EST
782842930520873902,COMUNE DI LU,ALESSANDRIA,PIEMONTE,NORD-OVEST
789242928099698401,COMUNE DI ABETONE,PISTOIA,TOSCANA,CENTRO
789742930528206201,COMUNE DI VARENA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
798842930463583602,COMUNE DI ACQUARICA DEL CAPO,LECCE,PUGLIA,SUD
799442930518431202,COMUNE DI FALMENTA,VERBANO-CUSIO-OSSOLA,PIEMONTE,NORD-OVEST
803542930545985601,COMUNE DI LUGNACCO,TORINO,PIEMONTE,NORD-OVEST
804042930517047201,COMUNE DI BREIA,VERCELLI,PIEMONTE,NORD-OVEST
808742930469544402,COMUNE DI SOVIZZO,VICENZA,VENETO,NORD-EST
829142930474168101,COMUNE DI FORMIGNANA,FERRARA,EMILIA-ROMAGNA,NORD-EST
836942928143314302,COMUNE DI LENTIAI,BELLUNO,VENETO,NORD-EST
841142930533715401,COMUNE DI ALICE SUPERIORE,TORINO,PIEMONTE,NORD-OVEST
843442930538103601,COMUNE DI ZELO SURRIGONE,MILANO,LOMBARDIA,NORD-OVEST
845742930549120102,COMUNE DI SERRA PEDACE,COSENZA,CALABRIA,SUD
845842930546344401,COMUNE DI PELLIO INTELVI,COMO,LOMBARDIA,NORD-OVEST
859042930537350901,COMUNE DI QUERO VAS,BELLUNO,VENETO,NORD-EST
867942930465584501,COMUNE DI SAN GIORGIO DI PESARO,PESARO E URBINO,MARCHE,CENTRO
868042930515987202,COMUNE DI CAMO,CUNEO,PIEMONTE,NORD-OVEST
872742930531470201,COMUNE DI VIGHIZZOLO D'ESTE,PADOVA,VENETO,NORD-EST
873842928108831901,COMUNE DI CASOLE BRUZIO,COSENZA,CALABRIA,SUD
873942930468156001,COMUNE DI TRAUSELLA,TORINO,PIEMONTE,NORD-OVEST
875442930461461202,COMUNE DI CADREZZATE,VARESE,LOMBARDIA,NORD-OVEST
876542930515381302,COMUNE DI BREZ,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
878142930462134601,COMUNE DI PUOS D'ALPAGO,BELLUNO,VENETO,NORD-EST
881842930517123401,COMUNE DI CARBONARA DI PO,MANTOVA,LOMBARDIA,NORD-OVEST
886542930510384201,COMUNE DI ACQUACANINA,MACERATA,MARCHE,CENTRO
895142930461366802,COMUNE DI CUTIGLIANO,PISTOIA,TOSCANA,CENTRO
897342930453191401,COMUNE DI PITEGLIO,PISTOIA,TOSCANA,CENTRO
898942930475125502,COMUNE DI LATERINA,AREZZO,TOSCANA,CENTRO
899242930523201702,COMUNE DI GAVAZZANA,ALESSANDRIA,PIEMONTE,NORD-OVEST
902142930518415701,COMUNE DI BARBERINO VAL D'ELSA,FIRENZE,TOSCANA,CENTRO
902242930531617302,COMUNE DI SAN GIOVANNI D'ASSO,SIENA,TOSCANA,CENTRO
904742930545490602,COMUNE DI SANT'AGOSTINO,FERRARA,EMILIA-ROMAGNA,NORD-EST
908442930463850901,COMUNE DI BARBARANO VICENTINO,VICENZA,VENETO,NORD-EST
908542930447062802,COMUNE DI VALVERDE,PAVIA,LOMBARDIA,NORD-OVEST
915942930516689002,COMUNE DI CONCO,VICENZA,VENETO,NORD-EST
921142927955645602,COMUNE DI CARANO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
941242930460831501,COMUNE DI CASASCO D'INTELVI,COMO,LOMBARDIA,NORD-OVEST
961142930479210201,COMUNE DI ROSSANO,COSENZA,CALABRIA,SUD
969742929303668501,COMUNE DI CLOZ,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
975442930522696401,COMUNE DI TAVARNELLE VAL DI PESA,FIRENZE,TOSCANA,CENTRO
978642930543178601,COMUNE DI MORANSENGO,ASTI,PIEMONTE,NORD-OVEST
979542930462907701,COMUNE DI UGGIATE-TREVANO,COMO,LOMBARDIA,NORD-OVEST
984442928979597202,COMUNE DI CISMON DEL GRAPPA,VICENZA,VENETO,NORD-EST
993142930526158202,COMUNE DI SALETTO,PADOVA,VENETO,NORD-EST
999142930545419002,COMUNE DI RIO NELL'ELBA,LIVORNO,TOSCANA,CENTRO
