Feature,Dataset
ALTRI CONTRIBUTI E TRASFERIMENTI CORRENTI DALLA REGIONE,Entrate
ALTRI CONTRIBUTI E TRASFERIMENTI CORRENTI DALLA REGIONE PER FUNZIONI DELEGATE,Entrate
ALTRI CONTRIBUTI E TRASFERIMENTI CORRENTI DALLO STATO,Entrate
ALTRI PROVENTI,Entrate
ALTRI PROVENTI DEI BENI DELL'ENTE,Entrate
ALTRI PROVENTI DEI BENI PROVINCIALI,Entrate
ALTRI PROVENTI DEI SERVIZI PUBBLICI,Entrate
ALTRI PROVENTI DIVERSI,Entrate
ALTRI PROVENTI DIVERSI DALLA FATTISPECIE PRECEDENTE,Entrate
ALTRI TRASFERIMENTI DI CAPITALI DA ALTRI ENTI DEL SETTORE PUBBLICO,Entrate
"ANAGRAFE, STATO CIVILE, ELETTORALE, LEVA E SERVIZIO STATISTICO",Entrate
ANTICIPAZIONI DI CASSA,Entrate
"ASILI NIDO, SERVIZI PER L'INFANZIA E PER I MINORI",Entrate
"ASSISTENZA INFANZIA, HANDICAPPATI ED ALTRI SERVIZI SOCIALI",Entrate
"ASSISTENZA SCOLASTICA, TRASPORTO, REFEZIONE, ALTRI SERVIZI",Entrate
"ASSISTENZA, BENEFICENZA PUBBLICA E SERVIZI DIVERSI ALLA PERSONA",Entrate
ASSUNZIONI DI MUTUI E PRESTITI,Entrate
Addizionale comunale sul consumo di energia elettrica regioni a statuto speciale (7),Entrate
Altre ASSUNZIONI DI MUTUI E PRESTITI,Entrate
Altre tasse,Entrate
Altri contributi generali,Entrate
Altri contributi statali erogati tramite le regioni,Entrate
Anticipazione di liquidit` art. 1 c. 13 D.L. 35/13,Entrate
Anticipazione di liquidit` art. 1 c. 13 D.L. 35/14,Entrate
Anticipazione di liquiditai art. 1 co. 13 D.L. 35/13 e successive integrazioni,Entrate
Anticipazione di liquidità art. 1 c. 13 D.L. 35/13,Entrate
Anticipazione sul fondo di rotazione stabilit` finanziaria art. 243 ter Tuel,Entrate
Anticipazione sul fondo di rotazione stabilita' finanziaria art. 243 ter Tuel,Entrate
Anticipazione sul fondo di rotazione stabilità finanziaria art. 243 ter Tuel,Entrate
"BIBLIOTECHE, MUSEI E PINACOTECHE",Entrate
C.O.S.A.P.,Entrate
CANONE PER CONCESSIONI CIMITERIALI,Entrate
CANONE PER L'INSTALLAZIONE DEI MEZZI PUBBLICITARI (CIMP),Entrate
COMPARTECIPAZIONE I.V.A,Entrate
COMPARTECIPAZIONE IRPEF,Entrate
CONCESSIONE DI BENI DEMANIALI,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DA ALTRI ENTI,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DA ALTRI ENTI DEL SETTORE PUBBLICO,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DA COMUNI ASSOCIATI IN UNIONE DI COMUNI,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DALLA REGIONE,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DALLA REGIONE PER FUNZIONI DELEGATE,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DALLA REGIONE PER FUNZIONI DELEGATE DI CUI : ENTRATE DA CONTRIBUZIONE REGIONALE A SPECIFICA DESTINAZIONE PER FINANZIARE SPESE DI PERSONALE,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DALLA REGIONE PER RIMBORSO FINANZIAMENTO STATALE ICI EX ART. 1 COMMA 4 ULTIMO PERIODO D.L. 93/08,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DALLE PROVINCE PER ALTRI CONTRIBUTI,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DALLE PROVINCE PER RIMBORSO STATALE ICI EX ART. 1 COMMA 4 ULTIMO PERIODO D.L. 93/08,Entrate
CONTRIBUTI E TRASFERIMENTI CORRENTI DALLO STATO,Entrate
CONTRIBUTI E TRASFERIMENTI DA PARTE DI ORGANISMI COMUNITARI E INTERNAZIONALI,Entrate
CONTRIBUTI REGIONALI SULLE RATE DI AMMORTAMENTO DEI MUTUI,Entrate
Canone per l'installazione dei mezzi pubblicitari (CIMP),Entrate
Conguaglio contributo compensativo anno 2013 minor gettito imu (art. 1 co. 6 D.L. 133/13),Entrate
Contributi non fiscalizzati da federalismo fiscale,Entrate
Contributi regionali sulle rate di ammortamento dei mutui,Entrate
Contributo ad integrazione del fondo di solidariet` comunale (art. 2 co.1 D.L. 120/13),Entrate
Contributo art. 1 co. 731 L. 147/13,Entrate
Contributo art. 8 co.10 D.L. 78/15,Entrate
Contributo compensativo gettito imu terreni agricoli ( art. 1 co. 711 L. 147/13),Entrate
"Contributo compensativo imu immobili comunali (art. 10 quater co. 1, 2, 3 D.L. 35/13)",Entrate
Contributo compensativo minor gettito imu derivante da modifiche normative (art. 1 co. 3 e 4 D.L. 133/13),Entrate
Contributo compensativo minor gettito imu derivante da modifiche normative (art. 1 e 3 D.L. 102/13),Entrate
Contributo per gli interventi alle Province (ex fondo sviluppo investimenti),Entrate
Contributo per gli interventi dei comuni ( ex fondo sviluppo investimenti),Entrate
DIFESA DEL SUOLO ED ASSETTO IDROGEOLOGICO E FORESTAZIONE,Entrate
DIRITTI SULLE PUBBLICHE AFFISSIONI,Entrate
EDILIZIA RESIDENZIALE PUBBLICA LOCALE E PIANI DI EDILIZIA ECON. POPOL.,Entrate
EMISSIONI DI PRESTITI OBBLIGAZIONARI,Entrate
ENTRATE DA CONTRIBUZIONE REGIONALE A SPECIFICA DESTINAZIONE PER FINANZIARE SPESE DI PERSONALE,Entrate
ENTRATE DA FONDO SPERIMENTALE DI RIEQUILIBRIO,Entrate
"ENTRATE DA SANZIONI AMMINISTRATIVE, AMMENDE E OBLAZIONI",Entrate
ENTRATE DA SERVIZI PER CONTO DI TERZI,Entrate
Entrate da fondo di solidariet` comunale ex art. 1 co. 380 - 380 bis L. 228/12,Entrate
Entrate da fondo di solidariet¿ comunale,Entrate
Entrate da fondo di solidarietà comunale,Entrate
Entrate da fondo sperimentale di riequilibrio al netto delle riduzioni di legge - ( art .4 c. 5 bis D.L. 192/14 convertito in legge con modificazioni dall'art.1 c. 1 L. 11/15),Entrate
Entrate da fondo sperimentale di riequilibrio al netto delle riduzioni di legge - ( art. 1 co. 20 D.L. 126/13 e art. 6 D.L. 151/13),Entrate
FINANZIAMENTI A BREVE TERMINE,Entrate
FONDO CONSOLIDATO,Entrate
FONDO ORDINARIO,Entrate
FONDO PER FUNZIONI TRASFERITE,Entrate
FONDO PER SVILUPPO INVESTIMENTI,Entrate
FONDO PEREQUATIVO FISCALIT@ LOCALE,Entrate
FONDO PEREQUATIVO FISCALITA' LOCALE,Entrate
FONDO PEREQUATIVO FISCALITÀ LOCALE,Entrate
FORMAZIONE PROFESSIONALE ED ALTRI SERVIZI INERENTI L'ISTRUZIONE,Entrate
Fondo per gli interventi alle Province,Entrate
"GESTIONE ECONOMICA, FINANZIARIA, PROGRAMMAZIONE E CONTROLLO DI GESTIONE",Entrate
I.C.I.,Entrate
I.M.U.,Entrate
I.M.U. al netto della quota Imu per alimentazione del fondo di solidariet` comunale (FSC),Entrate
I.M.U. al netto della quota Imu per alimentazione del fondo di solidariet` comunale (FSC) (al netto dell'eventuale importo da trattenere ai sensi dell'art. 4 co. 4 DPCM 1/12/14),Entrate
IMPOSTA COMUNALE SULLA PUBBLICIT@,Entrate
IMPOSTA COMUNALE SULLA PUBBLICITA',Entrate
IMPOSTA COMUNALE SULLA PUBBLICITÀ,Entrate
IMPOSTA DI SCOPO,Entrate
IMPOSTA DI SOGGIORNO COMUNI LOCALIT@ TURISTICHE,Entrate
IMPOSTA DI SOGGIORNO COMUNI LOCALITA' TURISTICHE,Entrate
IMPOSTA DI SOGGIORNO COMUNI LOCALITÀ TURISTICHE,Entrate
IMPOSTA PROVINCIALE DI TRASCRIZIONE,Entrate
IMPOSTA SULLE ASSICURAZIONI R.C. AUTO,Entrate
"INDUSTRIA, COMMERCIO E ARTIGIANATO",Entrate
INTERESSI SU ANTICIPAZIONI O CREDITI,Entrate
ISTITUTI DI ISTRUZIONE SECONDARIA,Entrate
ISTITUTI GESTITI DIRETTAMENTE DALLA PROVINCIA,Entrate
ISTRUZIONE ELEMENTARE,Entrate
ISTRUZIONE MEDIA,Entrate
Imposta di soggiorno comuni localita' turistiche e imposta di sbarco (art. 4 D.Lgs. 23/2011),Entrate
MANIFESTAZIONI DIVERSE NEL SETTORE SPORTIVO E RICREATIVO,Entrate
MANIFESTAZIONI TURISTICHE,Entrate
ORGANIZZAZIONE DELLO SMALTIMENTO DEI RIFIUTI A LIVELLO PROVINCIALE,Entrate
"PARCHI NATURALI, PROTEZIONE NATURALISTICA E FORESTAZIONE",Entrate
PERMESSI DI COSTRUIRE E RELATIVE SANZIONI,Entrate
PISCINE COMUNALI,Entrate
POLIZIA MUNICIPALE - RISORSE FINALIZZATE CODICE DELLA STRADA,Entrate
POLIZIA MUNICIPALE - RISORSE GENERALI,Entrate
PREVENZIONE INCENDI,Entrate
PROVENTI DEI BENI PROVINCIALI,Entrate
PROVENTI DIVERSI,Entrate
PROVENTI DIVERSI DAL SETTORE PUBBLICO,Entrate
PROVENTI SERVIZI DI PREVENZIONE E RIABILITAZIONE,Entrate
Per rimborso finanziamento statale ICI ex art. 1 co. 380 - 380 bis L. 228/12,Entrate
Per rimborso finanziamento statale ICI ex art. 1 co. 380 - 380 bis L. 228/12 (2),Entrate
Per rimborso finanziamento statale ICI ex art. 4 co. 5 D.L. 16/2012 convertito dalla L. 44/2012 (2),Entrate
Quota IMU per alimentazione fondo di solidariet` comunale,Entrate
RECUPERI VARI,Entrate
RIMBORSO SPESE PER PERSONALE COMANDATO,Entrate
RIMBORSO SPESE PER PERSONALE COMANDATO O IN CONVENZIONE,Entrate
RISCOSSIONI DI CREDITI,Entrate
SANIT@,Entrate
SANITA',Entrate
SANITÀ,Entrate
SCUOLA MATERNA,Entrate
"SEGRETERIA GENERALE, PERSONALE E ORGANIZZAZIONE",Entrate
SERVIZI DI PROTEZIONE CIVILE,Entrate
SERVIZI DI TUTELA E VALORIZZAZIONE AMBIENTALE,Entrate
"SERVIZI DI TUTELA, CONTROLLO E VALORIZZAZIONE DELLE RISORSE IDRICHE",Entrate
SERVIZI SOCIO-ASSISTENZIALIE SANITARI,Entrate
SERVIZI TURISTICI,Entrate
SERVIZIO IDRICO INTEGRATO,Entrate
SERVIZIO NECROSCOPICO E CIMITERIALE,Entrate
SPORT E TEMPO LIBERO,Entrate
"STADIO COMUNALE, PALAZZO DELLO SPORT E ALTRI IMPIANTI",Entrate
STRUTTURE RESIDENZIALI E DI RICOVERO PER ANZIANI,Entrate
TARIFFA DI IGIENE AMBIENTALE,Entrate
TARIFFA IGIENE AMBIENTALE,Entrate
TARIFFA INTEGRATA AMBIENTALE EX ART. 238 DEL D.LGS. N. 152/06,Entrate
TASSA DI CONCESSIONE SU ATTI E PROVVEDIMENTI COMUNALI,Entrate
TASSA PER L'OCCUPAZIONE DEGLI SPAZI ED AREE PUBBLICHE,Entrate
TASSA PER LA RACCOLTA E LO SMALTIMENTO DEI RIFIUTI SOLIDI URBANI,Entrate
"TEATRI, ATTIVIT@ CULTURALI E SERVIZI DIVERSI NEL SETTORE CULTURALE",Entrate
"TEATRI, ATTIVITA' CULTURALI E SERVIZI DIVERSI NEL SETTORE CULTURALE",Entrate
"TEATRI, ATTIVITÀ CULTURALI E SERVIZI DIVERSI NEL SETTORE CULTURALE",Entrate
TOTALE ENTRATE TRIBUTARIE,Entrate
TRASFERIMENTI COMPENSATIVI PER ICI SULL'ABITAZIONE PRINCIPALE,Entrate
TRASFERIMENTI DI CAPITALE STRAORDINARI DA ALTRI SOGGETTI,Entrate
TRASFERIMENTI DI CAPITALI DA ALTRI ENTI DEL SETTORE PUBBLICO,Entrate
TRASFERIMENTI DI CAPITALI DA ALTRI SOGGETTI,Entrate
TRASFERIMENTI DI CAPITALI DALLA REGIONE,Entrate
TRASFERIMENTI DI CAPITALI DALLE PROVINCE,Entrate
TRASFERIMENTI DI CAPITALI DALLO STATO,Entrate
TRASPORTI PUBBLICI LOCALI E SERVIZI CONNESSI,Entrate
"TRASPORTO, REFEZIONE E ASSISTENZA SCOLASTICA",Entrate
TRIBUTI SPECIALI ED ALTRE ENTRATE TRIBUTARIE PROPRIE,Entrate
"TRIBUTO PROVINCIALE PER I SERVIZI DI TUTELA, PROTEZIONE E IGIENE DELL'AMBIENTE",Entrate
TURISMO,Entrate
TURISMO E SPORT,Entrate
Tariffa di igiene ambientale ex art. 49 D.Lgs. n. 22/97 - per poste esercizi precedenti (recupero evasione e altre fattispecie particolari),Entrate
Tariffa integrata ambientale ex art. 238 D.Lgs. n. 152/06 - per poste esercizi precedenti (recupero evasione e altre fattispecie particolari),Entrate
Tassa sui rifiuti (Tari) - art. 1 co. 639 L. 147/13,Entrate
Tassa sui rifiuti (Tari) applicata secondo disposizioni - art. 1 co. 668 L. 147 /13,Entrate
Tributi speciali ed altre entrate tributarie proprie,Entrate
Tributo comunale sui rifiuti e sui servizi (Tares) art. 14 co. 9 D.L. 201/11 (5),Entrate
Tributo sui servizi indivisibili (Tasi) - art. 1 co. 639 L. 147/13,Entrate
UFFICI GIUDIZIARI,Entrate
UFFICIO TECNICO,Entrate
URBANISTICA E GESTIONE DEL TERRITORIO,Entrate
URBANISTICA E PROGRAMMAZIONE TERRITORIALE,Entrate
"UTILI NETTI DELLE AZIENDE SPECIALI E PARTECIPATE, DIVIDENDI DI SOCIET@",Entrate
"UTILI NETTI DELLE AZIENDE SPECIALI E PARTECIPATE, DIVIDENDI DI SOCIETA'",Entrate
"UTILI NETTI DELLE AZIENDE SPECIALI E PARTECIPATE, DIVIDENDI DI SOCIETÀ",Entrate
VALORIZZAZIONE DI BENI DI INTERESSE STORICO E ARTISTICO,Entrate
VIABILIT@,Entrate
VIABILIT@ LOCALE E TRASPORTI,Entrate
"VIABILIT@, CIRCOLAZIONE STRADALE E SERVIZI CONNESSI",Entrate
"VIABILITA', CIRCOLAZIONE STRADALE E SERVIZI CONNESSI",Entrate
VIABILITÀ,Entrate
VIABILITÀ LOCALE E TRASPORTI,Entrate
"VIABILITÀ, CIRCOLAZIONE STRADALE E SERVIZI CONNESSI",Entrate
altre ASSUNZIONI DI MUTUI E PRESTITI,Entrate
dalle Province per rimborso statale ICI ex art. 1 co. 380 - 380 bis L. 228/12,Entrate
dalle Province per rimborso statale ICI ex art. 1 co. 380 - 380 bis L. 228/12 (7),Entrate
ACQUISIZIONE DI BENI IMMOBILI,Spese
"ACQUISIZIONE DI BENI MOBILI, MACCHINE ED ATTREZZATURE TECNICO-SCIENTIFICHE",Spese
ACQUISTO DI BENI DI CONSUMO E/O DI MATERIE PRIME,Spese
ACQUISTO DI BENI SPECIFICI PER REALIZZAZIONI IN ECONOMIA,Spese
ALTRE FUNZIONI DI ISTRUZIONE PUBBLICA,Spese
ALTRE FUNZIONI DI POLIZIA LOCALE,Spese
"ALTRE FUNZIONI GENERALI DI AMMINISTRAZIONE, GESTIONE E CONTROLLO",Spese
ALTRE FUNZIONI NEL CAMPO DELLA VIABILITA' E DEI TRASPORTI,Spese
ALTRE FUNZIONI NEL CAMPO DELLA VIABILITÀ E DEI TRASPORTI,Spese
ALTRE FUNZIONI NEL CAMPO DELLO SVILUPPO ECONOMICO,Spese
ALTRE FUNZIONI NEL SETTORE SOCIALE,Spese
ALTRE FUNZIONI NEL SETTORE SPORTIVO E RICREATIVO,Spese
ALTRE FUNZIONI RELATIVE ALLA CULTURA ED AI BENI CULTURALI,Spese
ALTRE FUNZIONI RIGUARDANTI LA GESTIONE DEL TERRITORIO E DELL'AMBIENTE,Spese
ALTRI SERVIZI GENERALI escluso il rimborso per recupero come da spettanze Ministero interno,Spese
AMMORTAMENTI DI ESERCIZIO,Spese
CONCESSIONI DI CREDITI E ANTICIPAZIONI,Spese
CONFERIMENTI DI CAPITALE,Spese
ESPROPRI E SERVITY ONEROSE,Spese
ESPROPRI E SERVITÙ ONEROSE,Spese
FUNZIONI DI ISTRUZIONE PUBBLICA,Spese
FUNZIONI DI ISTRUZIONE PUBBLICA E RELATIVE ALLA CULTURA E AI BENI CULTURALI,Spese
"FUNZIONI GENERALI DI AMMINISTRAZIONE, GESTIONE E CONTROLLO",Spese
FUNZIONI NEL CAMPO DELLA TUTELA AMBIENTALE,Spese
FUNZIONI NEL CAMPO DELLA VIABILITA' E DEI TRASPORTI,Spese
FUNZIONI NEL CAMPO DELLA VIABILITÀ E DEI TRASPORTI,Spese
FUNZIONI NEL CAMPO DELLO SVILUPPO ECONOMICO,Spese
FUNZIONI NEL SETTORE SOCIALE,Spese
"FUNZIONI NEL SETTORE SPORTIVO, RICREATIVO E DEL TURISMO",Spese
FUNZIONI RELATIVE ALLA CULTURA ED AI BENI CULTURALI,Spese
FUNZIONI RIGUARDANTI LA GESTIONE DEL TERRITORIO,Spese
FUNZIONI RIGUARDANTI LA GESTIONE DEL TERRITORIO E DELL'AMBIENTE,Spese
IMPOSTE E TASSE,Spese
INCARICHI PROFESSIONALI ESTERNI,Spese
INTERESSI PASSIVI E ONERI FINANZIARI DIVERSI,Spese
ONERI STRAORDINARI DELLA GESTIONE CORRENTE,Spese
PARTECIPAZIONI AZIONARIE,Spese
PERSONALE,Spese
PRESTAZIONI DI SERVIZI,Spese
SPESE PER RIMBORSO DI PRESTITI,Spese
SPESE PER SERVIZI PER CONTO DI TERZI,Spese
Spesa per alimentazione del fondo di solidariet` comunale,Spese
TITOLO I - SPESE CORRENTI al netto della spesa per alimentazione del fondo di solidariet` comunale,Spese
TRASFERIMENTI,Spese
TRASFERIMENTI DI CAPITALE,Spese
UTILIZZO DI BENI DI TERZI,Spese
UTILIZZO DI BENI DI TERZI PER REALIZZAZIONI IN ECONOMIA,Spese
